Stage1.Measurement12.DV_ErrorRate,Stage1.Output.Measurement12.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorRPM.C.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorRPM.C.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorRPM.C.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual
0.216,1.5833475515925926,11.54,200,963.0,247,72.2,72.7,10.52,75.1,12.59,236,601.11,257,69.0,69.81,13.91,59.9,9.02,186,421.16,200,77.9,78.3,13.6,65.1,80.0
0.216,1.5834763035769228,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,69.01,69.83,13.89,60.0,9.02,186,421.16,200,78.0,78.3,13.78,65.1,80.0
0.214,1.5873224574230766,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,68.98,69.69,13.89,60.1,9.02,186,421.16,200,78.1,78.3,13.55,65.1,80.0
0.212,1.5911686112692307,11.54,200,963.0,247,72.3,72.7,10.48,75.1,12.59,236,601.11,257,68.98,69.72,13.94,60.1,9.02,186,421.16,200,78.1,78.3,13.53,65.1,80.0
0.21,1.5961686112692308,11.54,200,963.0,247,72.3,72.7,10.45,75.1,12.59,236,601.11,257,68.97,69.72,13.93,60.1,9.02,186,421.16,200,78.1,78.3,13.62,65.1,80.0
0.207,1.6011686112692307,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,68.97,69.71,13.9,60.2,9.02,186,421.16,200,78.1,78.3,13.47,65.1,80.0
0.206,1.6034763035769228,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,68.98,69.7,13.85,60.2,9.02,186,421.16,200,78.2,78.3,13.62,65.1,80.0
0.206,1.6047969834399995,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,68.99,69.71,13.94,60.2,9.02,186,421.16,200,78.2,78.3,13.7,65.1,80.0
0.205,1.6055969834399995,11.54,200,963.0,247,72.3,72.7,10.48,75.1,12.59,236,601.11,257,68.97,69.62,13.92,60.2,9.02,186,421.16,200,78.2,78.3,13.7,65.1,80.0
0.205,1.6063969834399991,11.54,200,963.0,247,72.3,72.7,10.48,75.1,12.59,236,601.11,257,68.97,69.62,13.87,60.3,9.02,186,421.16,200,78.3,78.3,13.66,65.1,80.0
0.204,1.607196983439999,11.54,200,963.0,247,72.3,72.6,10.48,75.1,12.59,236,601.11,257,68.97,69.54,13.85,60.3,9.02,186,421.16,200,78.3,78.3,13.66,65.1,80.0
0.195,1.626796983439999,11.54,200,963.0,247,72.3,72.6,10.52,75.1,12.59,236,601.11,257,68.97,69.47,13.86,60.3,9.02,186,421.16,200,78.3,78.3,13.69,65.1,80.1
0.185,1.6463969834399987,11.54,200,963.0,247,72.3,72.6,10.52,75.1,12.59,236,601.11,257,68.98,69.53,13.91,60.3,9.02,186,421.16,200,78.3,78.3,13.66,65.1,80.0
0.185,1.6465355609999988,11.54,200,963.0,247,72.4,72.6,10.52,75.1,12.59,236,601.11,257,68.94,69.47,13.89,60.3,9.02,186,421.16,200,78.3,78.3,13.62,65.1,80.0
0.185,1.6466638735555543,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,69.01,69.44,13.92,60.3,9.02,186,421.16,200,78.4,78.3,13.75,65.1,80.0
0.185,1.64678302092857,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,68.98,69.42,13.87,60.3,9.02,186,421.16,200,78.4,78.3,13.67,65.1,80.0
0.184,1.6475836064137919,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,69.0,69.43,13.92,60.2,9.02,186,421.16,200,78.4,78.3,13.75,65.1,80.0
0.184,1.6493077443448265,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,68.97,69.43,13.93,60.2,9.02,186,421.16,200,78.4,78.3,13.63,65.1,80.0
0.183,1.6499973995172403,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,69.0,69.32,13.91,60.2,9.02,186,421.16,200,78.5,78.3,13.76,65.1,80.1
0.184,1.6493077443448267,11.54,200,963.0,247,72.4,72.6,10.52,75.1,12.59,236,601.11,257,68.97,69.3,13.91,60.1,9.02,186,421.16,200,78.5,78.3,13.73,65.1,80.1
0.184,1.6475836064137923,11.54,200,963.0,247,72.4,72.6,10.52,75.1,12.59,236,601.11,257,68.95,69.33,13.91,60.1,9.02,186,421.16,200,78.5,78.3,13.63,65.1,80.1
0.183,1.6503703703703696,11.54,200,963.0,247,72.4,72.5,10.52,75.1,12.59,236,601.11,257,69.0,69.3,13.85,60.0,9.02,186,421.16,200,78.5,78.3,13.66,65.1,80.1
0.183,1.6511111111111103,11.54,200,963.0,247,72.4,72.5,10.48,75.1,12.59,236,601.11,257,68.95,69.22,13.92,60.0,9.02,186,421.16,200,78.5,78.3,13.78,65.1,80.1
0.181,1.6544444444444435,11.54,200,963.0,247,72.4,72.5,10.48,75.1,12.59,236,601.11,257,68.97,69.2,13.87,59.9,9.02,186,421.16,200,78.6,78.3,13.56,65.1,80.1
